name,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Hotel UiTM Shah Alam,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,Kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM FacilitiesS Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
Faculty of MASSCOM and FSSR,0,0.226,0.141,0.289,0.698,0.995,0.852,0.964,0.603,0.527,0.576,1.314,1.107,0.378,0.424,0.574,0.695,0.629,1.143,0.627,0.477,1.043,0.943,0.466,1.161,0.666,0.601,0.595,0.311,0.207,1.056,0.753,0.786,0.562,0.431,0.527,0.421,0.481,0.399,0.467,0.412,1.119,1.077,1.015,0.983,0.96,0.937,1.028,1.059,1.008,1.029,0.934,0.942,0.866,0.875,0.894,0.903,1.377,1.174,1.197,1.106,1.094,1.157,0.962,0.99,1.117,1.151,0.905,0.952,0.918,0.973,0.925,0.891,0.483,1.017,0.921,1.102,0.774,0.987
Fakulti Sains Komputer & Matematik 1,0.226,0,0.115,0.193,0.582,0.785,0.703,0.76,0.376,0.307,0.367,1.135,0.912,0.152,0.286,0.452,0.631,0.565,1.037,0.507,0.355,0.921,0.827,0.24,0.945,0.463,0.434,0.438,0.376,0.338,0.908,0.572,0.56,0.34,0.247,0.365,0.203,0.279,0.194,0.264,0.393,0.941,0.896,0.822,0.802,0.772,0.742,0.828,0.859,0.802,0.822,0.725,0.735,0.659,0.692,0.709,0.712,1.193,0.973,0.989,0.893,0.876,0.937,0.736,0.771,0.93,1.012,0.772,0.824,0.779,0.842,0.859,0.797,0.323,0.835,0.742,1.017,0.599,0.761
Fakulti Sains Komputer & Matematik 2,0.141,0.115,0,0.159,0.574,0.899,0.809,0.875,0.476,0.391,0.436,1.249,1.027,0.257,0.289,0.446,0.592,0.525,1.025,0.603,0.347,0.92,0.821,0.342,1.057,0.578,0.543,0.545,0.275,0.224,1.015,0.613,0.662,0.428,0.29,0.388,0.287,0.34,0.26,0.379,0.326,1.055,1.009,0.937,0.915,0.886,0.857,0.943,0.974,0.917,0.936,0.84,0.849,0.774,0.805,0.823,0.827,1.307,1.088,1.104,1.006,0.989,1.048,0.831,0.852,0.976,1.022,0.777,0.826,0.788,0.846,0.824,0.777,0.345,0.877,0.855,0.994,0.711,0.863
Kolej Melati,0.289,0.193,0.159,0,0.415,0.891,0.874,0.88,0.424,0.316,0.333,1.277,1.04,0.251,0.136,0.288,0.442,0.376,0.867,0.692,0.189,0.761,0.662,0.312,1.033,0.595,0.602,0.611,0.233,0.26,1.075,0.472,0.608,0.355,0.174,0.242,0.23,0.238,0.182,0.413,0.205,1.087,1.038,0.954,0.947,0.911,0.873,0.95,0.981,0.917,0.933,0.835,0.848,0.775,0.838,0.852,0.851,1.329,1.091,1.095,0.989,0.962,1.014,0.751,0.748,0.835,0.864,0.619,0.667,0.631,0.688,0.673,0.62,0.2,0.733,0.89,0.838,0.756,0.801
Kolej Mawar ,0.698,0.582,0.574,0.415,0,0.999,1.136,1.02,0.547,0.447,0.379,1.438,1.182,0.542,0.295,0.129,0.164,0.162,0.455,1.012,0.229,0.346,0.247,0.534,1.087,0.806,0.882,0.903,0.484,0.592,1.316,0.253,0.657,0.467,0.359,0.239,0.464,0.376,0.428,0.694,0.333,1.269,1.216,1.114,1.138,1.09,1.041,1.088,1.116,1.04,1.049,0.96,0.977,0.922,1.041,1.047,1.035,1.472,1.205,1.183,1.065,1.018,1.044,0.693,0.608,0.517,0.456,0.211,0.255,0.229,0.277,0.312,0.221,0.271,0.415,1.095,0.441,0.993,0.785
Block B Faculty Of Applied Sciences,0.995,0.785,0.899,0.891,0.999,0,0.409,0.075,0.481,0.6,0.637,0.445,0.19,0.65,0.851,0.929,1.146,1.106,1.321,0.548,0.896,1.185,1.139,0.579,0.178,0.331,0.446,0.47,1.123,1.118,0.451,0.774,0.342,0.564,0.751,0.807,0.663,0.692,0.713,0.529,1.065,0.309,0.262,0.159,0.235,0.187,0.143,0.105,0.124,0.051,0.05,0.062,0.059,0.132,0.233,0.213,0.185,0.473,0.207,0.205,0.115,0.133,0.207,0.404,0.554,0.9,1.184,1.051,1.099,1.037,1.098,1.299,1.185,0.807,0.877,0.246,1.369,0.318,0.304
Kolej Seroja,0.852,0.703,0.809,0.874,1.136,0.409,0,0.334,0.599,0.689,0.762,0.488,0.367,0.632,0.898,1.03,1.249,1.193,1.538,0.237,0.961,1.403,1.334,0.608,0.565,0.336,0.272,0.265,1.079,1.029,0.206,0.972,0.585,0.672,0.8,0.903,0.691,0.765,0.738,0.465,1.077,0.305,0.283,0.292,0.211,0.234,0.267,0.347,0.363,0.374,0.396,0.371,0.36,0.335,0.177,0.196,0.224,0.559,0.455,0.516,0.502,0.539,0.611,0.741,0.879,1.204,1.438,1.252,1.307,1.246,1.313,1.448,1.35,0.883,1.153,0.168,1.56,0.15,0.665
Block C Faculty Of Applied Sciences,0.964,0.76,0.875,0.88,1.02,0.075,0.334,0,0.486,0.603,0.649,0.418,0.164,0.634,0.852,0.942,1.161,1.118,1.36,0.483,0.901,1.223,1.173,0.569,0.242,0.298,0.393,0.415,1.11,1.097,0.382,0.805,0.371,0.571,0.75,0.817,0.655,0.695,0.706,0.499,1.063,0.259,0.208,0.1,0.164,0.114,0.068,0.071,0.101,0.049,0.072,0.064,0.046,0.105,0.16,0.139,0.111,0.457,0.213,0.236,0.176,0.205,0.279,0.462,0.611,0.955,1.23,1.085,1.135,1.072,1.136,1.325,1.213,0.813,0.926,0.171,1.403,0.251,0.367
Kolej Delima 1,0.603,0.376,0.476,0.424,0.547,0.481,0.599,0.486,0,0.118,0.169,0.902,0.65,0.224,0.37,0.458,0.679,0.633,0.94,0.524,0.415,0.805,0.736,0.137,0.611,0.263,0.373,0.401,0.657,0.673,0.77,0.375,0.187,0.084,0.271,0.332,0.197,0.211,0.242,0.235,0.586,0.725,0.673,0.575,0.592,0.546,0.498,0.557,0.586,0.515,0.528,0.432,0.447,0.383,0.494,0.5,0.489,0.943,0.687,0.682,0.571,0.54,0.59,0.361,0.418,0.661,0.849,0.654,0.708,0.648,0.716,0.859,0.755,0.327,0.588,0.548,0.962,0.451,0.387
Kolej Delima 3,0.527,0.307,0.391,0.316,0.447,0.6,0.689,0.603,0.118,0,0.084,1.017,0.767,0.17,0.252,0.347,0.569,0.52,0.864,0.581,0.298,0.733,0.655,0.106,0.728,0.36,0.44,0.464,0.545,0.571,0.87,0.317,0.294,0.04,0.153,0.22,0.105,0.093,0.137,0.264,0.468,0.838,0.786,0.69,0.702,0.658,0.612,0.674,0.704,0.633,0.646,0.55,0.565,0.499,0.601,0.608,0.6,1.06,0.806,0.8,0.689,0.656,0.703,0.442,0.464,0.648,0.793,0.579,0.634,0.577,0.645,0.759,0.663,0.21,0.562,0.654,0.876,0.546,0.486
Kolej Delima 2 (Pusat Kokurikulum),0.576,0.367,0.436,0.333,0.379,0.637,0.762,0.649,0.169,0.084,0,1.067,0.813,0.244,0.237,0.292,0.512,0.469,0.784,0.663,0.265,0.651,0.575,0.189,0.75,0.428,0.52,0.545,0.55,0.593,0.938,0.234,0.308,0.09,0.159,0.171,0.167,0.097,0.177,0.348,0.452,0.893,0.841,0.741,0.761,0.714,0.665,0.719,0.748,0.675,0.686,0.593,0.608,0.549,0.663,0.669,0.658,1.106,0.845,0.832,0.717,0.679,0.719,0.422,0.418,0.571,0.709,0.498,0.553,0.495,0.563,0.69,0.589,0.177,0.482,0.716,0.799,0.617,0.483
