name,lat,lon
Faculty of MASSCOM and FSSR,3.073403308,101.4998722
Fakulti Sains Komputer & Matematik 1,3.071377476,101.5001641
Fakulti Sains Komputer & Matematik 2,3.072180134,101.4995048
Kolej Melati,3.071225639,101.4984384
Kolej Mawar ,3.068755193,101.4956284
Block B Faculty Of Applied Sciences,3.065401387,101.5039739
Kolej Seroja,3.068582391,101.5058465
Block C Faculty Of Applied Sciences,3.065954022,101.5043699
Kolej Delima 1,3.067989483,101.5004925
Kolej Delima 3,3.068644984,101.4996507
Kolej Delima 2 (Pusat Kokurikulum),3.068267841,101.4989995
Faculty of Art and Design,3.06469336,101.5079149
Perpustakaan Tun Abdul Razak 1,3.065266452,101.5056769
Taska UiTM Shah Alam,3.070014085,101.5003447
Dewan Platinum Kolej Melati,3.070114021,101.4979159
Dewan Mawar Qaseh,3.069378132,101.4966148
Unit Bengkel Kenderaan UiTM Shah Alam,3.069894296,101.4946859
"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",3.070162467,101.495226
Akademi Pengajian Bahasa,3.066580537,101.4921521
Pintu Seksyen 2,3.070318545,101.5046018
Dataran Cendekiawan,3.06995045,101.4973065
Kolej Anggerik,3.066587554,101.4933822
Makmal Fakulti Kejuruteraan Kimia,3.0673361,101.4939079
Kompleks Kolam Renang UiTM Shah Alam,3.069221463,101.5004129
Fakulti Undang-Undang,3.063790307,101.5040703
Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,3.068176431,101.5028518
Parking Canseleri,3.06940677,101.5035394
Canseleri Tuanku Syed Sirajuddin,3.069645188,101.5037065
Kompleks Kejuruteraan Elektrikal,3.072869141,101.4971281
Fakulti Kejuruteraan Kimia,3.073542271,101.4980152
Kompleks Sukan UiTM Shah Alam,3.067131988,101.497226
Kolej Perindu,3.066396665,101.501058
Pusat Kokurikulum,3.068323137,101.4998101
Ibu Pejabat Polis Bantuan UiTM,3.069677137,101.4987285
Kolej Teratai 2,3.06915029,101.4977408
kolej Teratai,3.06959518,101.4997166
Kolej Teratai 3,3.069147673,101.4989838
Kolej Delima 2 (PB),3.069837189,101.4993233
UiTM Facilities Center,3.06965705,101.5018065
Faculty of Civil Engineering,3.071595939,101.4966326
Dewan Sri Budiman,3.065961555,101.5066976
Dewan Annexe,3.066056138,101.5062369
Menara Sultan Abdul Aziz Shah,3.066004258,101.5052723
Bahagian Pembangunan Organisasi,3.066681183,101.5056601
Jabatan Sain Ukur dan Geomatik,3.066568432,101.505194
DKB,3.06646205,101.5047066
Block A Faculty of Applied Science,3.065596884,101.5048974
Block A Faculty Of Applied Sciences,3.06539055,101.5050903
DK Beta,3.0655173,101.5044165
DK Alfa,3.065300175,101.5044157
DK Delta,3.06593225,101.5037981
DK Gamma & DK Bestari,3.065938378,101.5039586
Block F Faculty Of Applied Sciences,3.066538128,101.5036245
irmi,3.067301834,101.5048854
Malaysian Institut Transport,3.067088157,101.5048991
MITRAN,3.06688285,101.5047554
National Design Centre,3.064008175,101.5079968
Budisiswa,3.064475088,101.5055937
Bangunan HEP,3.063967229,101.5051444
Faculty of Business,3.06437451,101.5041597
"Instititut Leadership, Quality",3.064254867,101.5036222
Ayub Arshad Graduate Business School,3.063589,101.5034913
Gym Sport Recreation,3.064722726,101.5004016
Dewan Agung Tuanku Canselor,3.064489743,101.4990728
MTDC,3.064092508,101.4959812
Surau FSPU,3.065343427,101.4933206
AB1,3.067104623,101.4946758
AB3,3.0669438,101.4942066
AB2,3.06687835,101.4947658
Kafeteria Kolej Anggerik,3.066716677,101.4941792
Mamakteria Cafe,3.068944996,101.4928282
Pusat Kesihatan UiTM Shah Alam,3.068259611,101.4937022
Non Resident Office,3.0694808,101.4979543
Security Office,3.065032669,101.4960923
Register Office,3.067150939,101.5053478
Pos Polis Bantuan,3.067547544,101.4918469
Stor Sukan,3.068218694,101.5045466
Institut Pengajian Siswazah,3.06460308,101.5013578
